ProductName,Category,Brand,UnitPrice
Antivirus,Home Appliances,FakeVelvetVista,658
Trekking Poles,Home & Furniture,FakeLuxeAura,390
Washing Machine,Health & Fitness,FakeEtherealEdge,888
Pet Bed,Home Appliances,FakeLuxeAura,369
Printer,Outdoor & Garden,FakeVelvetVista,602
Smartwatch,Sports & Recreation,FakeEtherealEdge,293
Memory Card,Outdoor & Garden,FakeZenithStyle,610
Smart Light,Health & Fitness,FakeZenithStyle,596
Headphones,Toys & Games,FakeVelvetVista,451
Smart Thermostat,Pets,FakeEtherealEdge,134
Sleeping Pad,Toys & Games,FakeLuxeAura,245
Juicer,Sports & Recreation,FakeLuxeAura,135
Flashlight,Kitchen & Dining,FakeZenithStyle,967
3D Printer,Kitchen & Dining,FakeZenithStyle,489
Juicer,Electronics,FakeZenithStyle,657
Pet Toy,Arts & Crafts,FakeVelvetVista,509
Electric Car,Arts & Crafts,FakeUrbanGlow,332
Fish Food,Home Appliances,FakeLuxeAura,977
Dog Collar,Outdoor & Garden,FakeEtherealEdge,116
Wi-Fi Extender,Pets,FakeVelvetVista,848
Smart Thermostat,Arts & Crafts,FakeZenithStyle,107
Elliptical,Health & Fitness,FakeVelvetVista,691
Backpacking Stove,Home Appliances,FakeZenithStyle,550
Glasses,Electronics,FakeVelvetVista,386
Projector,Arts & Crafts,FakeZenithStyle,725
Hair Dryer,Pets,FakeEtherealEdge,940
Outdoor Umbrella,Home & Furniture,FakeZenithStyle,380
Bluetooth Speaker,Sports & Recreation,FakeUrbanGlow,602
Router,Sports & Recreation,FakeEtherealEdge,498
Soap,Pets,FakeEtherealEdge,615
Trekking Poles,Pets,FakeVelvetVista,473
Tarp,Outdoor & Garden,FakeVelvetVista,167
Dart Board,Outdoor & Garden,FakeZenithStyle,626
Hammock,Arts & Crafts,FakeUrbanGlow,109
Tent,Arts & Crafts,FakeUrbanGlow,440
Dishwasher,Kitchen & Dining,FakeLuxeAura,455
Sleeping Pad,Toys & Games,FakeVelvetVista,243
Fan,Arts & Crafts,FakeLuxeAura,322
Showerhead,Toys & Games,FakeEtherealEdge,206
Garden Hose,Health & Fitness,FakeZenithStyle,873
Electric Shaver,Kitchen & Dining,FakeUrbanGlow,978
Plant Pot,Home Appliances,FakeEtherealEdge,523
Fish Food,Health & Fitness,FakeUrbanGlow,363
Lawn Mower,Health & Fitness,FakeUrbanGlow,387
Robot Vacuum,Home Appliances,FakeLuxeAura,251
Glasses,Toys & Games,FakeVelvetVista,450
Smart Light,Outdoor & Garden,FakeUrbanGlow,539
Hammock,Sports & Recreation,FakeUrbanGlow,571
Garden Tools,Pets,FakeLuxeAura,163
Robot Vacuum,Outdoor & Garden,FakeVelvetVista,629
Life Jacket,Outdoor & Garden,FakeLuxeAura,187
Bluetooth Speaker,Home & Furniture,FakeUrbanGlow,123
Craft Kit,Home Appliances,FakeLuxeAura,587
Bicycle,Sports & Recreation,FakeUrbanGlow,733
Dog Leash,Health & Fitness,FakeUrbanGlow,133
Earbuds,Home & Furniture,FakeLuxeAura,415
Laser Printer,Arts & Crafts,FakeUrbanGlow,471
Pet Bed,Home Appliances,FakeEtherealEdge,763
Trekking Poles,Arts & Crafts,FakeZenithStyle,958
VR Headset,Electronics,FakeEtherealEdge,315
Sewing Machine,Electronics,FakeVelvetVista,838
Supplement,Arts & Crafts,FakeEtherealEdge,816
Hammock,Arts & Crafts,FakeZenithStyle,548
Sleeping Bag,Health & Fitness,FakeUrbanGlow,898
Home Security Camera,Electronics,FakeVelvetVista,109
Thermos,Home & Furniture,FakeVelvetVista,460
Pet Bed,Electronics,FakeVelvetVista,364
Laptop,Outdoor & Garden,FakeVelvetVista,175
Dart Board,Electronics,FakeZenithStyle,593
Surfboard,Toys & Games,FakeEtherealEdge,876
Laser Printer,Health & Fitness,FakeEtherealEdge,879
Pet Bed,Kitchen & Dining,FakeVelvetVista,953
Wi-Fi Extender,Home Appliances,FakeUrbanGlow,525
Juicer,Outdoor & Garden,FakeUrbanGlow,685
Ping Pong Table,Electronics,FakeVelvetVista,563
Sleeping Bag,Home & Furniture,FakeZenithStyle,388
Snorkel Gear,Arts & Crafts,FakeLuxeAura,908
Dart Board,Home & Furniture,FakeUrbanGlow,147
Hiking Boots,Arts & Crafts,FakeZenithStyle,304
Grill,Pets,FakeUrbanGlow,183
Life Jacket,Kitchen & Dining,FakeUrbanGlow,231
Sewing Machine,Home Appliances,FakeEtherealEdge,638
Water Bottle,Home Appliances,FakeEtherealEdge,647
Microwave,Pets,FakeZenithStyle,660
Pet Carrier,Sports & Recreation,FakeLuxeAura,570
Smartwatch,Outdoor & Garden,FakeVelvetVista,415
Sewing Machine,Home & Furniture,FakeUrbanGlow,141
Cat Litter Box,Sports & Recreation,FakeUrbanGlow,407
Laptop,Electronics,FakeUrbanGlow,843
Electric Car,Kitchen & Dining,FakeLuxeAura,509
Mattress,Kitchen & Dining,FakeEtherealEdge,353
Headphones,Toys & Games,FakeVelvetVista,702
Electric Kettle,Sports & Recreation,FakeLuxeAura,440
Supplement,Outdoor & Garden,FakeUrbanGlow,642
Fishing Rod,Arts & Crafts,FakeEtherealEdge,438
Camping Tent,Home Appliances,FakeUrbanGlow,845
Thermos,Health & Fitness,FakeUrbanGlow,515
Smartphone,Electronics,FakeZenithStyle,714
Memory Card,Home & Furniture,FakeUrbanGlow,903
Telescope,Arts & Crafts,FakeUrbanGlow,628
